Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID,keywords_cleaned,Main Domain
Prabu M.; Preetham S.S.; Tu D.,"Prabu, M. (55778146006); Preetham, Simhachalam Sanju (59325210500); Tu, Devakrishnan (59325210600)",55778146006; 59325210500; 59325210600,Integrated Framework for Accurate Change Detection and Deforestation Identification in Satellite Imagery,2024,Proceedings of InC4 2024 - 2024 IEEE International Conference on Contemporary Computing and Communications,,,,,,,1,10.1109/InC460750.2024.10649388,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203828195&doi=10.1109%2fInC460750.2024.10649388&partnerID=40&md5=9da8cdf829154db359398b3cc0ae9aa6,Change detection; Deforestation; Environmental monitoring; Segmentation,Conference paper,Final,,Scopus,2-s2.0-85203828195,"change detection, deforestation, environmental monitoring, segmentation",Others
Narayana D.S.M.; Enaganti K.K.; Mathivanan P.,"Narayana, Datta Sai Manikanta (58515819400); Enaganti, Karun Kumar (58852637800); Mathivanan, P. (58776133100)",58515819400; 58852637800; 58776133100,Enhancing Image Security Using Novel Scrambling and Chaotic Techniques with ChaCha20 Algorithm,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,1,10.1109/ICCCNT61001.2024.10725695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213027290&doi=10.1109%2fICCCNT61001.2024.10725695&partnerID=40&md5=1dcf8a951a62ead63ea54485c05ffef4,ChaCha20; Chaotic map; Chaotic System; Confusion; Diffusion; Encryption; Image Sharing; Scrambling,Conference paper,Final,,Scopus,2-s2.0-85213027290,"chacha20, chaotic map, chaotic system, confusion, diffusion, encryption, image sharing, scrambling",Cybersecurity
Bhavana G.; Pudota M.B.C.; Saravanan S.; Deepak K.,"Bhavana, Gundu (59715624200); Pudota, Mokshagna Bhuvan Chowdary (59714649100); Saravanan, S. (57195644470); Deepak, K. (57215184901)",59715624200; 59714649100; 57195644470; 57215184901,Improving Obfuscated Malware Classification: A Machine Learning Approach with Feature Selection and Data Balancing,2024,ICACC - International Conference on Advances in Computing and Communications,,2024,,,,,0,10.1109/ICACC63692.2024.10845316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001265895&doi=10.1109%2fICACC63692.2024.10845316&partnerID=40&md5=822be343d9b19930b5217413ca014408,Classification; Feature Selection; Machine Learning; Malware; Normalization; Obfuscation,Conference paper,Final,,Scopus,2-s2.0-105001265895,"classification, feature selection, machine learning, malware, normalization, obfuscation",Machine Learning
Rachamsetty U.K.; Gyanendhar Reddy R.; Saravanan S.,"Rachamsetty, Uday Kiran (59490884600); Gyanendhar Reddy, Reddymalla (59490884700); Saravanan, S. (57195644470)",59490884600; 59490884700; 57195644470,Enhancing Attack Detection on IoT Devices Using Hybrid Deep Learning Model,2024,Lecture Notes in Networks and Systems,23 LNNS,,,1,15,14,0,10.1007/978-981-97-7710-5_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213322055&doi=10.1007%2f978-981-97-7710-5_1&partnerID=40&md5=f58b4452e1b4bbd79d14aafb6259c202,Attacks; Convolutional neural network (CNN); Deep learning; Detection; Internet of Things (IoT); Long short-term memory (LSTM),Conference paper,Final,,Scopus,2-s2.0-85213322055,"attacks, convolutional neural network (cnn), deep learning, detection, internet of things (iot), long short-term memory (lstm)",AI
Nirmal S.; Dhanvinesh K.; Saranya G.,"Nirmal, S. (57391570100); Dhanvinesh, K. (58867446100); Saranya, G. (57208758125)",57391570100; 58867446100; 57208758125,From Novice to Ninja: Novice to Ninja's Guide to CTF Domains,2024,"Proceedings of the 18th INDIAcom; 2024 11th International Conference on Computing for Sustainable Global Development, INDIACom 2024",,,,578,584,6,2,10.23919/INDIACom61295.2024.10498858,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191745161&doi=10.23919%2fINDIACom61295.2024.10498858&partnerID=40&md5=248074459d98ff75f4583ad96d195010,Cybersecurity simulated challenges; Gamification; Learning; Rewards; User performance report; Users-contributable; Vulnerable Machines,Conference paper,Final,,Scopus,2-s2.0-85191745161,"cybersecurity simulated challenges, gamification, learning, rewards, user performance report, users-contributable, vulnerable machines",Cybersecurity
Muthaiah U.; Rohan R.; Keerthana S.,"Muthaiah, U. (56565605700); Rohan, R. (59809079200); Keerthana, S. (59807951700)",56565605700; 59809079200; 59807951700,"A Comparative Study of Symptom-based Disease Classification using BERT, SVM and KNN",2024,"Proceedings of International Conference on Emerging Technologies and Innovation for Sustainability, EmergIN 2024",,,,531,536,5,0,10.1109/EmergIN63207.2024.10961038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004663947&doi=10.1109%2fEmergIN63207.2024.10961038&partnerID=40&md5=72c00dd19af9b886e9ff213f53f834e9,BERT model; Disease Prediction; Early Diagnosis; SVM; TF-IDF using KNN Classification,Conference paper,Final,,Scopus,2-s2.0-105004663947,"bert model, disease prediction, early diagnosis, svm, tf-idf using knn classification",Machine Learning
Bhatraju G.P.; Vikas C.; Saranya G.,"Bhatraju, Gowtham Pushkar (58924925700); Vikas, Chilakala (58984094200); Saranya, G. (57208758125)",58924925700; 58984094200; 57208758125,Cookie Analysis Using Web Crawling and Web Scraping,2024,"Proceedings of the 14th International Conference on Cloud Computing, Data Science and Engineering, Confluence 2024",,,,148,153,5,0,10.1109/Confluence60223.2024.10463260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190283288&doi=10.1109%2fConfluence60223.2024.10463260&partnerID=40&md5=91e2c44353775ca0613dd901a435beb5,Cookie; Cookie Analysis; Web Crawling; Web Scraping,Conference paper,Final,,Scopus,2-s2.0-85190283288,"cookie, cookie analysis, web crawling, web scraping",Others
Shriram S.,"Shriram, S. (57204965711)",57204965711,A Low-cost Monitoring System for Enhanced Indoor Air Quality inside Built environment,2024,"2024 IEEE Conference on Engineering Informatics, ICEI 2024",,,,,,,0,10.1109/ICEI64305.2024.10912089,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001486085&doi=10.1109%2fICEI64305.2024.10912089&partnerID=40&md5=7ff555bfb1c976521586cbef33e482a7,CO<sub>2</sub> concentration; exhaust fan; indoor air qulaity; IoT,Conference paper,Final,,Scopus,2-s2.0-105001486085,"co<sub>2</sub> concentration, exhaust fan, indoor air qulaity, iot",IoT
Bhavana B.; Chaitanya C.; Bharathi Mohan G.,"Bhavana, Battula (59672924100); Chaitanya, Chennu (59156014600); Bharathi Mohan, G. (56026524900)",59672924100; 59156014600; 56026524900,Visual Question Answering for Enhanced User Interaction with ResNet and BERT,2024,"Proceedings of the 4th International Conference on Ubiquitous Computing and Intelligent Information Systems, ICUIS 2024",,,,1225,1231,6,0,10.1109/ICUIS64676.2024.10866516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000263786&doi=10.1109%2fICUIS64676.2024.10866516&partnerID=40&md5=706847e5b0678fc83185c63f92a3ddcb,BERT; Classification; Convolutional Neural Network (CNN); Data augmentation; Feature extraction; Visual Question Answering (VQA),Conference paper,Final,,Scopus,2-s2.0-86000263786,"bert, classification, convolutional neural network (cnn), data augmentation, feature extraction, visual question answering (vqa)",Machine Learning
Reddy J.A.; Charan M.M.; Reddy C.N.; Nikhil B.T.P.R.; Reddy J.A.; Janani H.; Ishwariya R.,"Reddy, J.Aniketh (59320350900); Charan, M.Mukesh (59320642900); Reddy, Ch.Nayanesh (59321360900); Nikhil, B.T.P.R. (59320351000); Reddy, J.Aman (59320351100); Janani, H. (59321215200); Ishwariya, R. (56461422800)",59320350900; 59320642900; 59321360900; 59320351000; 59320351100; 59321215200; 56461422800,Modeling Virus Mutation and T-Cell Dynamics in HIV/AIDS: A Comparative Study using Finite Difference and Physics-Informed Neural Network,2024,"2024 International Conference on Signal Processing, Computation, Electronics, Power and Telecommunication, IConSCEPT 2024 - Proceedings",,,,,,,1,10.1109/IConSCEPT61884.2024.10627803,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203531458&doi=10.1109%2fIConSCEPT61884.2024.10627803&partnerID=40&md5=5af267050ca33e803537ce9761b9ca3e,,Conference paper,Final,,Scopus,2-s2.0-85203531458,,Others
Murthy Polisetty V.R.; Chokkalingam S.P.,"Murthy Polisetty, Venkata Ramana (58916160500); Chokkalingam, S.P. (55327831700)",58916160500; 55327831700,Enhancing Bird Species Classification: A Weighted Average Transfer Learning Ensemble Approach,2024,"2nd International Conference on Intelligent Data Communication Technologies and Internet of Things, IDCIoT 2024",,,,1401,1406,5,6,10.1109/IDCIoT59759.2024.10467506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190109850&doi=10.1109%2fIDCIoT59759.2024.10467506&partnerID=40&md5=1e998675f58b16a53fdb820f6095dd41,Bird Species Classification; Computer Vision; Data Augmentation; Ensemble Prediction; Image Classification; Transfer Learning,Conference paper,Final,,Scopus,2-s2.0-85190109850,"bird species classification, computer vision, data augmentation, ensemble prediction, image classification, transfer learning",Machine Learning
Bardia V.; Avinash M.; Prabu M.,"Bardia, Viksith (59404117700); Avinash, M. (59563384900); Prabu, M. (55778146006)",59404117700; 59563384900; 55778146006,Comparative Study Between Traditional and Hybrid LSTM Models for Toxic Comment Classification,2024,"Proceedings - 4th International Conference on Technological Advancements in Computational Sciences, ICTACS 2024",,,,1690,1695,5,0,10.1109/ICTACS62700.2024.10840459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218203014&doi=10.1109%2fICTACS62700.2024.10840459&partnerID=40&md5=dcc23041fb426f792d017657c809b36a,CNN; Deep learning; Lemmatization; LSTM; Tokenization; Word2Vec Embeddings,Conference paper,Final,,Scopus,2-s2.0-85218203014,"cnn, deep learning, lemmatization, lstm, tokenization, word2vec embeddings",AI
Gorantla S.; Veluchamy S.,"Gorantla, Snehitha (58674412200); Veluchamy, S. (6506644033)",58674412200; 6506644033,Reinforcement Empowered Deep Network Enabled Optimal Controlled Environment For Crop Yield,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10724672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211124683&doi=10.1109%2fICCCNT61001.2024.10724672&partnerID=40&md5=91f61aaf6eab30c17e9c1510609f27a8,Crop Yield; Greenhouse; Multi-Agent Systems; Neural Network; PPO algorithm; Reinforcement Learning; Resource Management,Conference paper,Final,,Scopus,2-s2.0-85211124683,"crop yield, greenhouse, multi-agent systems, neural network, ppo algorithm, reinforcement learning, resource management",AI
Chaitanya T.V.S.S.; Annamalai R.,"Chaitanya, Tekumudi Vivek Sai Surya (58656077700); Annamalai, R. (57210211908)",58656077700; 57210211908,Enhanced Alzheimer's Disease Classification: A Stacked Model Fusion with Brain MRI Imaging,2024,Proceedings of InC4 2024 - 2024 IEEE International Conference on Contemporary Computing and Communications,,,,,,,0,10.1109/InC460750.2024.10649320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203832194&doi=10.1109%2fInC460750.2024.10649320&partnerID=40&md5=92e4868a46b2a0c06a1ea750c5100036,Alzheimer's Disease; Cross-validation; Feature Extraction; Global Average Pooling (GAP); Stacked network feature fusion,Conference paper,Final,,Scopus,2-s2.0-85203832194,"alzheimer's disease, cross-validation, feature extraction, global average pooling (gap), stacked network feature fusion",Networks
Anitha J.; Sangapu S.C.,"Anitha, J. (57218799260); Sangapu, Sreenivasa Chakravarthi (59397816600)",57218799260; 59397816600,Diabetic Retinopathy Detection using EfficientNet-based Framework with Segmentation,2024,"2024 3rd International Conference for Advancement in Technology, ICONAT 2024",,,,,,,1,10.1109/ICONAT61936.2024.10775147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215006250&doi=10.1109%2fICONAT61936.2024.10775147&partnerID=40&md5=226855a0ab0086aa4753d60c719fd102,Canny Edge Detector; Data Augmentation; Diabetic Retinopathy; EfficientNet; Image Segmentation,Conference paper,Final,,Scopus,2-s2.0-85215006250,"canny edge detector, data augmentation, diabetic retinopathy, efficientnet, image segmentation",Others
Rishikesh K.; Bharadwaj N.S.; Veluchamy S.,"Rishikesh, Kadiyala (59425779800); Bharadwaj, Nookala Sai (58515740600); Veluchamy, S. (6506644033)",59425779800; 58515740600; 6506644033,"Revolutionizing Secure Image Transmission with Rubik's, Chaos, DNA, and Homomorphic Approaches",2024,"2024 IEEE 3rd World Conference on Applied Intelligence and Computing, AIC 2024",,,,1444,1450,6,0,10.1109/AIC61668.2024.10731011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210235479&doi=10.1109%2fAIC61668.2024.10731011&partnerID=40&md5=efde543f5d2b591279508d1f828fc2e2,Arnold cat; Chaos; DNA; Homomorphic; Image encryption; Paillier cryptosystem; Rubik's,Conference paper,Final,,Scopus,2-s2.0-85210235479,"arnold cat, chaos, dna, homomorphic, image encryption, paillier cryptosystem, rubik's",Cybersecurity
Kumar A.; Sountharrajan S.,"Kumar, Anand (59531754400); Sountharrajan, S. (57192169178)",59531754400; 57192169178,Safeguarding Financial Transactions using Customer Profiles,2024,"2024 International Conference on Cybernation and Computation, CYBERCOM 2024",,,,133,140,7,0,10.1109/CYBERCOM63683.2024.10803103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216246926&doi=10.1109%2fCYBERCOM63683.2024.10803103&partnerID=40&md5=327bde9553a358a51d60d02ac0cd1b88,Credit card fraud detection; Customer transaction profiling; Financial security; Machine learning; Merchant Category Codes; Real-time data processing; Support Vector Classifier; Synthetic dataset; Transaction-processing engine,Conference paper,Final,,Scopus,2-s2.0-85216246926,"credit card fraud detection, customer transaction profiling, financial security, machine learning, merchant category codes, real-time data processing, support vector classifier, synthetic dataset, transaction-processing engine",Machine Learning
Venkatraman K.; Reddy S.N.P.S.,"Venkatraman, K. (56687714800); Reddy, Sirigiri Naga Pavan Sathvik (58984261700)",56687714800; 58984261700,Augmenting Clinical Decisions with Deep Learning Lung Cancer Image Abnormality Segmentation,2024,"Proceedings of the 14th International Conference on Cloud Computing, Data Science and Engineering, Confluence 2024",,,,674,678,4,8,10.1109/Confluence60223.2024.10463381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190307589&doi=10.1109%2fConfluence60223.2024.10463381&partnerID=40&md5=ee83754a2b5d07026e8da3942869f2dc,comparative analysis; computational methods; CT scans; deep learning; InceptionNet; InceptionResNet; IQ-OTH/NCCD dataset; Lung cancer; machine learning; ResNet; SVM classifiers; VGG16,Conference paper,Final,,Scopus,2-s2.0-85190307589,"comparative analysis, computational methods, ct scans, deep learning, inceptionnet, inceptionresnet, iq-oth/nccd dataset, lung cancer, machine learning, resnet, svm classifiers, vgg16",AI
Greeshma N.; Singh S.,"Greeshma, Nimmagadda (59156012200); Singh, Soumyendra (57221223135)",59156012200; 57221223135,A Novel Approach for Approximating the Dynamics of Fisher's Equation Based on Physics-Informed Neural Networks,2024,"International Conference on Integrated Circuits, Communication, and Computing Systems, ICIC3S 2024 - Proceedings",,,,,,,0,10.1109/ICIC3S61846.2024.10602878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201178362&doi=10.1109%2fICIC3S61846.2024.10602878&partnerID=40&md5=5d5c4d11c0cd7c8df7715d60fa393faf,Fisher's Equation; Latin supermassives; Loss-function; Neural-Networks; Optimization Techniques; Partial Differential Equation (PDE's),Conference paper,Final,,Scopus,2-s2.0-85201178362,"fisher's equation, latin supermassives, loss-function, neural-networks, optimization techniques, partial differential equation (pde's)",AI
Bardia V.; Sophiya E.,"Bardia, Viksith (59404117700); Sophiya, E. (57203883240)",59404117700; 57203883240,Diabetes Prediction Using Machine Learning Algorithm: A Comparative Analysis,2024,"10th International Conference on Advanced Computing and Communication Systems, ICACCS 2024",,,,1973,1979,6,1,10.1109/ICACCS60874.2024.10717264,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208621984&doi=10.1109%2fICACCS60874.2024.10717264&partnerID=40&md5=76aa1fe0ff2f237666b62c63b43c8d60,Accuracy; Cross Validation; Diabetes Prediction; Ensemble techniques; Interpretability; Machine Learning; SMOTE; XG Boost,Conference paper,Final,,Scopus,2-s2.0-85208621984,"accuracy, cross validation, diabetes prediction, ensemble techniques, interpretability, machine learning, smote, xg boost",Machine Learning
Sakilam A.; Rangarajan P.K.; Bode V.; Ajith S.; Yadav S.; Shaik H.F.,"Sakilam, Abhiman (58816966900); Rangarajan, Prasanna Kumar (58196810600); Bode, Vamsi (58674400100); Ajith, Sangeeth (58674347700); Yadav, Sarthak (59073839500); Shaik, Huzaifa Fazil (58765448700)",58816966900; 58196810600; 58674400100; 58674347700; 59073839500; 58765448700,Deep Reinforcement Learning Algorithms for Profitable Stock Trading Strategies,2024,Proceedings of InC4 2024 - 2024 IEEE International Conference on Contemporary Computing and Communications,,,,,,,1,10.1109/InC460750.2024.10649326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203827400&doi=10.1109%2fInC460750.2024.10649326&partnerID=40&md5=cb95bec0e8bcf91a4bf40e6b607cf1c3,DDQN; Deep Reinforcement Learning; DQN; Dueling Double DQN; Q-values,Conference paper,Final,,Scopus,2-s2.0-85203827400,"ddqn, deep reinforcement learning, dqn, dueling double dqn, q-values",Others
